label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
4A_EDA,4A,EDA,3.5,0.21927413343272456,39.38040205051314,140.21397797970337,39.14927320163996,44.705087588520314,2.350447260529258,1.504845322400298,785.7112846389944,82.58971935529854,665.2129127572825,64,2.336154912093802,0.0,0.0,6.709642721841156,3.1991465634263743,10.118299340539428
4A_INDO,4A,INDO,3.5,0.2596848210957883,46.637934447955786,132.95644558226073,39.88538948937756,60.27534476332464,1.9031867312709654,1.8100074543421545,797.8224156916353,135.04070286067875,625.4129466274105,66,2.4738218861510624,0.0,0.0,7.44717289050533,3.3295227864718395,10.299291212687498
4A_ISBZ,4A,ISBZ,3.5,0.2778664275065226,49.903248779245025,129.6911312509715,45.403932165486395,58.94754006708908,4.146477823332091,2.6486209467014534,835.1229563757003,182.1111356553809,620.0030263989917,66,2.636618356797206,0.0,0.0,5.4857739532619245,3.899473004800111,10.355560256062644
4A_MEPI,4A,MEPI,3.5,0.24972046216921356,44.848391584139044,134.74598844607746,40.311684681326874,55.72353708535222,2.2782333209094294,1.5747297800969067,819.3420179879851,130.65020764512903,653.6730978158256,77,2.4061486004401305,0.0,0.0,7.849237443904143,3.364367298305332,10.149382909267912
4A_METOX,4A,METOX,3.5,0.21911106969809915,39.351116720187676,140.24326331002885,37.79584420424897,46.07482295937383,1.7121692135669027,2.0615915020499442,864.7500721407124,161.61847712934198,665.3029357292019,70,2.3378529034565028,0.0,0.0,8.705940744703861,3.8080809533493323,10.116208279934332
4A_MOR,4A,MOR,3.5,0.2491380916884085,44.74380111869096,134.85057891152556,41.92601565411852,53.97875512486023,1.9893775624301155,1.7610883339545285,789.7410524244237,100.1892435090686,654.3031057999768,76,2.405237648287379,0.0,0.0,7.846532495838891,3.1807959247237836,10.154791388380293
4A_MTL,4A,MTL,3.5,0.22997227916511367,41.301728900794465,138.29265112942204,44.406913902348116,43.59858367499068,1.8496086470368989,2.1338054416697725,806.9823840981336,125.38084111707705,638.6728840530866,64,2.381501666493013,0.0,0.0,6.816778287070062,3.154476250817459,10.066129077189782
4A_NMA,4A,NMA,3.5,0.24640677413343273,44.25327183573944,135.34110819447707,40.111349235929936,55.88194185613119,1.376723816623183,1.1926947446887812,795.7828623927298,123.26097382250994,630.393279138081,64,2.6468318985912194,0.0,0.0,6.855521941880124,2.5428080858411874,10.439896437679938
4A_OCTA,4A,OCTA,3.5,0.23746738725307492,42.64780819111133,136.9465718391052,43.58460678345136,45.44353335818114,3.6992172940737977,2.2595974655236675,850.4519989619347,167.1802375196367,639.8031835397275,70,2.3746437378478484,0.0,0.0,9.122498572999103,3.086134466469565,10.09120017558863
4A_OTL,4A,OTL,3.5,0.23996575661572866,43.09650128788362,136.4978787423329,33.07398434588148,59.164181885948565,1.823984345881476,1.9241520685799478,799.5423037615825,128.66080028910642,628.1729784436139,64,2.3898484600702194,0.0,0.0,7.321383680089619,3.428423078895047,10.24089967696936
4A_PIP,4A,PIP,3.5,0.251263743943347,45.125556317576475,134.46882371264005,40.47474841595229,56.310566530003726,2.2199962728289226,1.5001863585538577,797.9819233764931,110.67011493947925,652.8530788071478,76,2.408416805060951,0.0,0.0,7.829051394241513,3.1821054401733884,10.151604157861685
4A_THQ,4A,THQ,3.5,0.2616881755497577,46.9977256490972,132.59665438111932,40.42582929556467,58.52823332090943,2.9095229221021244,2.8116846813268728,804.4722697601816,148.5906254221673,620.9228364898472,66,2.672510981764902,0.0,0.0,7.622556975304492,3.1772958519648036,10.437764557142934
5A_AMP,5A,AMP,3.5,0.06125372717107715,11.000825155829629,168.59355487438688,7.994781960491987,12.951919493104732,2.159429742825196,1.3953596720089452,863.4624657173589,173.2100950747955,663.0631693788988,80,4.722816464279445,1.9999787906265702,0.011546548656779735,6.651533870532589,3.1526301939654657,11.738283026303481
5A_BEMT,5A,BEMT,3.5,0.06572050875885203,11.803034025816444,167.79134600440005,13.142937010808797,9.578829668281774,1.5164927320163997,2.049944092433843,895.5140609132815,206.85163865988534,668.3030492310882,67,4.562655123127322,0.0,0.0,9.977234328887196,3.2057848837929876,11.006784639762515
