state,amine,label,filepath,filename,n_atoms,n_cat_atoms,n_amine_atoms,n_extra_atoms
H1,INDO,H1_INDO,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_indo_h2h_3_b3lypd3bs1_ar.xyz,INT_TS_indo_h2h_3_b3lypd3bs1_ar.xyz,83,63,20,0
H1,ISBZ,H1_ISBZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_isbz_h2h_3_b3lypd3bs1.xyz,INT_TS_isbz_h2h_3_b3lypd3bs1.xyz,91,63,28,0
H1,MEPI,H1_MEPI,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_mepi_h2h_3_b3lypd3bs1.xyz,INT_TS_mepi_h2h_3_b3lypd3bs1.xyz,84,63,21,0
H1,METOX,H1_METOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_metox_h2h_3_b3lypd3bs1.xyz,INT_TS_metox_h2h_3_b3lypd3bs1.xyz,83,63,20,0
H1,MOR,H1_MOR,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_mor_h2h_3_b3lypd3bs1.xyz,INT_TS_mor_h2h_3_b3lypd3bs1.xyz,80,63,17,0
H1,MTL,H1_MTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_mtl_h2h_3_b3lypd3bs1_ar.xyz,INT_TS_mtl_h2h_3_b3lypd3bs1_ar.xyz,82,63,19,0
H1,NMA,H1_NMA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_nma_h2h_3_b3lypd3bs1_ar.xyz,INT_TS_nma_h2h_3_b3lypd3bs1_ar.xyz,82,63,19,0
H1,OCTA,H1_OCTA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_octa_h2h_3_b3lypd3bs1.xyz,INT_TS_octa_h2h_3_b3lypd3bs1.xyz,87,63,24,0
H1,OTL,H1_OTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_otl_h2h_3_b3lypd3bs1_ar.xyz,INT_TS_otl_h2h_3_b3lypd3bs1_ar.xyz,82,63,19,0
H1,PIP,H1_PIP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_pip_h2h_3_b3lypd3bs1.xyz,INT_TS_pip_h2h_3_b3lypd3bs1.xyz,82,63,19,0
H1,THQ,H1_THQ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H1/INT_TS_thq_h2h_3_b3lypd3bs1_ar.xyz,INT_TS_thq_h2h_3_b3lypd3bs1_ar.xyz,86,63,23,0
H3,AMP,H3_AMP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_amp_h2h_2_b3lypd3bs1.xyz,opt_amp_h2h_2_b3lypd3bs1.xyz,84,63,21,0
H3,BEMT,H3_BEMT,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_bemt_h2h_2_b3lypd3bs1.xyz,opt_bemt_h2h_2_b3lypd3bs1.xyz,85,63,22,0
H3,BENZ,H3_BENZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_benz_h2h_2_b3lypd3bs1.xyz,opt_benz_h2h_2_b3lypd3bs1.xyz,95,63,32,0
H3,BMAE,H3_BMAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_bmae_h2h_2_b3lypd3bs1.xyz,opt_bmae_h2h_2_b3lypd3bs1.xyz,83,63,20,0
H3,BOX,H3_BOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_box_h2h_2_b3lypd3bs1.xyz,opt_box_h2h_2_b3lypd3bs1.xyz,89,63,26,0
H3,DADP,H3_DADP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dadp_h2h_2_b3lypd3bs1.xyz,opt_dadp_h2h_2_b3lypd3bs1.xyz,91,63,28,0
H3,DBUA,H3_DBUA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dbua_h2h_2_b3lypd3bs1.xyz,opt_dbua_h2h_2_b3lypd3bs1.xyz,93,63,30,0
H3,DEA,H3_DEA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dea_h2h_2_b3lypd3bs1.xyz,opt_dea_h2h_2_b3lypd3bs1.xyz,83,63,20,0
H3,DEGE,H3_DEGE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dege_h2h_2_b3lypd3bs1.xyz,opt_dege_h2h_2_b3lypd3bs1.xyz,104,63,41,0
H3,DEPA,H3_DEPA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_depa_h2h_2_b3lypd3bs1.xyz,opt_depa_h2h_2_b3lypd3bs1.xyz,92,63,29,0
H3,DETA,H3_DETA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_deta_h2h_2_b3lypd3bs1.xyz,opt_deta_h2h_2_b3lypd3bs1.xyz,85,63,22,0
H3,DMDP,H3_DMDP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dmdp_h2h_2_b3lypd3bs1.xyz,opt_dmdp_h2h_2_b3lypd3bs1.xyz,97,63,34,0
H3,DMEDA,H3_DMEDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_dmeda_h2h_2_b3lypd3bs1.xyz,opt_dmeda_h2h_2_b3lypd3bs1.xyz,83,63,20,0
H3,EAE,H3_EAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_eae_h2h_2_b3lypd3bs1.xyz,opt_eae_h2h_2_b3lypd3bs1.xyz,85,63,22,0
H3,EDA,H3_EDA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_eda_h2h_2_b3lypd3bs1.xyz,opt_eda_h2h_2_b3lypd3bs1.xyz,77,63,14,0
H3,INDO,H3_INDO,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_indo_h2h_2_b3lypd3bs1.xyz,opt_indo_h2h_2_b3lypd3bs1.xyz,83,63,20,0
H3,ISBZ,H3_ISBZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_isbz_h2h_2_b3lypd3bs1.xyz,opt_isbz_h2h_2_b3lypd3bs1.xyz,91,63,28,0
H3,MEPI,H3_MEPI,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_mepi_h2h_2_b3lypd3bs1.xyz,opt_mepi_h2h_2_b3lypd3bs1.xyz,84,63,21,0
H3,METOX,H3_METOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_metox_h2h_2_b3lypd3bs1.xyz,opt_metox_h2h_2_b3lypd3bs1.xyz,83,63,20,0
H3,MOR,H3_MOR,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_mor_h2h_2_b3lypd3bs1.xyz,opt_mor_h2h_2_b3lypd3bs1.xyz,80,63,17,0
H3,MTL,H3_MTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_mtl_h2h_2_b3lypd3bs1.xyz,opt_mtl_h2h_2_b3lypd3bs1.xyz,82,63,19,0
H3,NMA,H3_NMA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_nma_h2h_2_b3lypd3bs1.xyz,opt_nma_h2h_2_b3lypd3bs1.xyz,82,63,19,0
H3,OCTA,H3_OCTA,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_octa_h2h_2_b3lypd3bs1.xyz,opt_octa_h2h_2_b3lypd3bs1.xyz,87,63,24,0
H3,OTL,H3_OTL,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_otl_h2h_2_b3lypd3bs1.xyz,opt_otl_h2h_2_b3lypd3bs1.xyz,82,63,19,0
H3,PIP,H3_PIP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_pip_h2h_2_b3lypd3bs1.xyz,opt_pip_h2h_2_b3lypd3bs1.xyz,82,63,19,0
H3,THQ,H3_THQ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/H3/opt_thq_h2h_2_b3lypd3bs1.xyz,opt_thq_h2h_2_b3lypd3bs1.xyz,86,63,23,0
TS3A,AMP,TS3A_AMP,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_amp_limcat_b3lypd3bs1.xyz,TS23_amp_limcat_b3lypd3bs1.xyz,82,63,19,0
TS3A,BEMT,TS3A_BEMT,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_bemt_limcat_b3lypd3bs1.xyz,TS23_bemt_limcat_b3lypd3bs1.xyz,83,63,20,0
TS3A,BENZ,TS3A_BENZ,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_benz_limcat_b3lypd3bs1.xyz,TS23_benz_limcat_b3lypd3bs1.xyz,93,63,30,0
TS3A,BMAE,TS3A_BMAE,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_bmae_limcat_b3lypd3bs1.xyz,TS23_bmae_limcat_b3lypd3bs1.xyz,81,63,18,0
TS3A,BOX,TS3A_BOX,/home/chromyum/bond_energy/established/A_postprocessing/xyz_opt/TS3A/TS23_box_limcat_b3lypd3bs1.xyz,TS23_box_limcat_b3lypd3bs1.xyz,87,63,24,0
