label,state,amine,Ru_SASA_full,Ru_SASA_bare,Ru_SASA_cat_only,Ru_shield_amine,Ru_shield_cat,Ru_access_frac,Vbur_total_R3.0,Vfree_total_R3.0,Vfree_abs_R3.0,Vbur_total_R3.5,Vfree_total_R3.5,Vfree_abs_R3.5,Vbur_total_R4.5,Vfree_total_R4.5,Vfree_abs_R4.5,amine_N_index,Ru_N_distance,Vfree_amine_side,Vfree_opposite_side,Vfree_amine_frac,Vfree_opposite_frac,Vfree_asymmetry,H2_approach_frac,H2_min_clearance,H2_n_accessible,ligand_max_gap_deg,ligand_mean_angle_deg
5A_DEPA,5A,DEPA,0.0,120.76282160399161,1.3499743911866877,1.3499743911866877,119.41284721280492,0.0,95.32367401668654,4.676325983313461,5.288800087788715,88.9139955273947,11.086004472605296,19.90984100269756,77.3323528134769,22.667647186523098,86.52320435854574,77,5.651362339670055,16.871624999999998,25.136999999999997,0.1967335694608422,0.2932283464566929,0.09649477699585068,0.0045,3.7445795767591146,9,173.02355635534946,103.00920851725458
5A_DETA,5A,DETA,0.0,120.76282160399161,3.1099410048819176,3.1099410048819176,117.6528805991097,0.0,95.47266090584029,4.527339094159714,5.120299885867922,90.00826966082744,9.991730339172562,17.94458615692801,80.85299800277875,19.147001997221253,73.08477818747838,70,4.991401350222199,18.650249999999996,20.813625,0.21742209631728046,0.24285264235646217,0.025430546039181712,0.0035,3.7285153122449217,7,175.30352978454218,104.29880215686664
5A_DMDP,5A,DMDP,0.0,120.76282160399161,1.5299709766782321,1.5299709766782321,119.23285062731338,0.0,95.51456346841478,4.485436531585222,5.072909204077703,89.34145546030562,10.658544539694375,19.142146986308603,78.39201979854116,21.607980201458844,82.47841830967741,93,5.346900776987076,18.15075,22.099499999999995,0.21160731851268935,0.2578460326835991,0.04623871417090977,0.0045,3.721281978724053,9,175.3182875507726,103.76489523485603
5A_DMEDA,5A,DMEDA,0.0,120.76282160399161,1.8299652858308384,1.8299652858308384,118.93285631816077,0.0,95.51549463647198,4.484505363528015,5.07185607781571,89.8323937756243,10.167606224375703,18.260449362581255,80.0872156130601,19.912784386939904,76.00779642817145,70,5.14329188691445,18.187875,21.475125,0.21232417950435364,0.25022611978449805,0.0379019402801444,0.004,3.711597754089148,8,175.19763887319857,104.05505242061834
5A_EAE,5A,EAE,0.0,120.76282160399161,3.799927915932878,3.799927915932878,116.96289368805873,0.0,96.09188766388557,3.908112336114428,4.419970921634658,91.51835631755498,8.481643682445025,15.232555387859179,82.32133553317124,17.678664466828764,67.48008233333582,64,4.546471917102315,16.507125,20.746124999999996,0.19252873563218392,0.24195072030229078,0.04942198467010686,0.0005,3.9101487454246953,1,174.19684854559708,104.61902360942894
5A_EDA,5A,EDA,0.0,120.76282160399161,2.039961302237648,2.039961302237648,118.72286030175397,0.0,95.33671036948749,4.663289630512509,5.27405632012065,89.13587868058144,10.864121319418558,19.511351329340357,78.00994268843348,21.990057311566517,83.93682003997355,64,5.454217224167002,17.992124999999998,22.8285,0.2100224559744711,0.26601643921815393,0.05599398324368282,0.0075,3.750511509378818,15,174.40759299009088,103.44862007576337
5A_INDO,5A,INDO,0.0,120.76282160399161,2.5799510587123295,2.5799510587123295,118.18287054527929,0.0,95.40468563766389,4.5953143623361115,5.197178102994286,89.28263604174431,10.717363958255689,19.247783356411162,78.55076632511289,21.44923367488711,81.87247724985974,66,5.044480295392183,19.898999999999997,20.752874999999996,0.23186126076526803,0.2422678381466451,0.010406577381377069,0.007,3.6281979303206033,14,174.6122082608313,104.03488210046898
5A_ISBZ,5A,ISBZ,0.0,120.76282160399161,1.7599666136952297,1.7599666136952297,119.00285499029638,0.0,95.56857121573302,4.431428784266984,5.011827880881427,90.00069884457696,9.99930115542304,17.95818291743629,80.70157823897186,19.298421761028138,73.66275273684295,66,5.222651147089953,18.019125,21.367124999999998,0.21006452628265662,0.2493108608332677,0.03924633455061108,0.001,3.8909637298190347,2,175.53882230494818,104.00943538891646
5A_MEPI,5A,MEPI,0.0,120.76282160399161,3.889926208678658,3.889926208678658,116.87289539531295,0.0,96.21387067938022,3.7861293206197786,4.282011381312003,90.70711423779352,9.292885762206481,16.68950057155098,80.82721865230982,19.172781347690176,73.18317887240602,77,4.726421637856698,18.447749999999996,20.361375,0.21531552824391395,0.23729546884833233,0.02197994060441838,0.005,3.5980051019915193,10,174.0774426272972,104.3151157660657
5A_METOX,5A,METOX,0.0,120.76282160399161,2.169958836203772,2.169958836203772,118.59286276778784,0.0,95.330192193087,4.669807806912999,5.28142820395469,89.13587868058144,10.864121319418558,19.511351329340357,78.01319902744008,21.98680097255992,83.92439047977223,70,5.422787273008227,18.235124999999996,22.565249999999995,0.21245723723015214,0.26344615627093265,0.05098891904078051,0.006,3.7542399283658408,12,174.15215630508195,103.46989086339185
5A_MOR,5A,MOR,0.0,120.76282160399161,3.8499269674583148,3.8499269674583148,116.9128946365333,0.0,96.24459922526817,3.755400774731825,4.247258214665848,90.65353615355944,9.346463846440557,16.785723799763247,80.69398011462313,19.30601988537687,73.69175504397947,76,4.773366274956595,18.457874999999998,20.388374999999996,0.21526411083995908,0.23779719729176507,0.02253308645180599,0.005,3.7275347715851415,10,174.03251964713465,104.26160595002825
5A_MTL,5A,MTL,0.0,120.76282160399161,2.4099542835258467,2.4099542835258467,118.35286732046576,0.0,95.38606227651967,4.613937723480333,5.218240628234383,89.19586284010435,10.804137159895646,19.40362314992882,78.125,21.875,83.49764224619122,64,5.217758500928728,19.632374999999996,21.286125,0.22898870212179664,0.24823867438107608,0.019249972259279435,0.009,3.724663843829295,18,174.9763229219032,103.95150757562828
5A_NMA,5A,NMA,0.0,120.76282160399161,4.409916344543152,4.409916344543152,116.35290525944846,0.0,96.00435786650775,3.995642133492254,4.518964790263112,90.89114330972792,9.108856690272077,16.358994700735053,82.18646882598124,17.813531174018763,67.99487328500999,64,4.634207154907946,18.599624999999996,19.912499999999998,0.21693434104865375,0.23222860741557114,0.015294266366917386,0.0025,3.581665079648651,5,173.3961386510643,103.89647095116737
5A_OCTA,5A,OCTA,0.0,120.76282160399161,2.889945178170014,2.889945178170014,117.8728764258216,0.0,95.47079856972587,4.529201430274128,5.122406138391938,89.96575661572867,10.034243384271335,18.02093719670512,80.69072377561653,19.309276224383467,73.70418460418085,70,5.0278604942559815,18.646874999999998,20.914875,0.21739130434782608,0.24402441425477459,0.026633109906948504,0.0035,3.7285153122449217,7,175.1622684202222,104.20947798439792
5A_OTL,5A,OTL,0.0,120.76282160399161,7.169863988747042,7.169863988747042,113.59295761524457,0.0,95.93079558998808,4.0692044100119205,4.602161764961508,91.81536526276555,8.184634737234447,14.699144014073937,83.92752474817645,16.072475251823548,61.34920176400112,64,4.346354683421499,20.300624999999997,18.073124999999997,0.23670851206170557,0.21083507224693884,-0.025873439814766724,0.0,,0,174.01453568956308,104.33084179634619
5A_PIP,5A,PIP,0.0,120.76282160399161,3.9699246911193447,3.9699246911193447,116.79289691287227,0.0,96.21852651966627,3.78147348033373,4.276745750001993,90.64130637346254,9.358693626537459,16.807687797507327,80.7512374088225,19.248762591177496,73.47320194377176,76,4.726271827614235,18.555749999999996,20.239874999999998,0.2162013370035391,0.23628841607565013,0.02008707907211102,0.004,3.5888786115913587,8,174.1194791684625,104.30265324404039
5A_THQ,5A,THQ,0.0,120.76282160399161,4.029923552949875,4.029923552949875,116.73289805104173,0.0,96.00715137067938,3.992848629320619,4.515805411477103,90.30178438315318,9.698215616846824,17.417450211069678,80.5319772490448,19.4680227509552,74.31012566399852,66,4.89015628335179,18.552374999999998,20.803499999999996,0.21639176475219465,0.24261030424686109,0.026218539494666432,0.005,3.735294100192549,10,173.629349086476,104.00375595125298
H1_AMP,H1,AMP,0.0,120.76282160399161,6.599874801357111,6.599874801357111,114.1629468026345,0.0,96.10399284862932,3.896007151370682,4.4062802802286,90.83640048453225,9.163599515467752,16.457309738256242,80.18219216741925,19.817807832580755,75.64526758896432,80,3.8239903797439134,17.799749999999996,21.012749999999997,0.20740915526191597,0.24529193916949021,0.03788278390757424,0.0015,3.8009264605892414,3,175.31522418506526,102.63802774653222
H1_BEMT,H1,BEMT,0.0,120.76282160399161,6.719872525018141,6.719872525018141,114.04294907897346,0.0,95.87026966626937,4.129730333730635,4.670614971991824,90.5219204248975,9.478079575102498,17.022098251675914,79.55778916290379,20.442210837096212,78.02863575758045,67,3.8599298368024773,17.955,21.630374999999997,0.20922641286821098,0.2524918252373636,0.0432654123691526,0.0045,3.7016931395361903,9,174.54751323773596,102.66543417805987
H1_BENZ,H1,BENZ,0.0,120.76282160399161,6.2098821994587405,6.2098821994587405,114.55293940453286,0.0,96.52115613825984,3.4788438617401596,3.934479714850383,91.2574543421543,8.742545657845696,15.701120673066583,80.36563259812435,19.63436740187565,74.94506903095277,67,3.743135179637252,17.178749999999997,21.407624999999996,0.20037003503523207,0.24965560672255677,0.0492855716873247,0.003,3.78078850746493,6,173.15253448394918,102.76030977350936
