label,state,amine,SASA_total,SASA_amine,SASA_catalyst,amine_N_index,Ru_N_distance,SASA_amine_N,SASA_N_ratio,Sterimol_L,Sterimol_B1,Sterimol_B5
4A_AMP,4A,AMP,808.5617513663327,125.030131225033,646.5929878150291,80,2.3793239720958557,0.0,0.0,7.05723718982767,3.15299358347539,10.111511508067657
4A_BEMT,4A,BEMT,855.4932480371008,166.62131556198216,654.8331615248674,67,2.4307820967540468,0.0,0.0,7.81657253340832,3.581894227160774,10.175528319300497
4A_BENZ,4A,BENZ,879.213966717169,241.30207320544767,603.3132148249006,67,2.6269377058087997,0.0,0.0,7.790674352297936,3.7929021846253486,10.129617833548075
4A_BMAE,4A,BMAE,814.5918849998595,129.3902137616779,647.4930073670141,64,2.422403347412028,0.0,0.0,7.739407034348937,3.319278810196796,10.188128602327456
4A_BOX,4A,BOX,846.6615374016338,184.79998408778624,623.3629627785216,73,2.6078636499824905,0.0,0.0,7.927743963950755,3.565701237317035,10.21683828995558
4A_DADP,4A,DADP,899.7414330744555,216.77962882624203,639.5832229038936,87,2.372663445517295,0.0,0.0,10.889126061423124,3.083031473068509,10.095676459890274
4A_DBUA,4A,DBUA,857.6517911904094,193.8304309534525,625.7127554034545,64,2.446255559948306,0.0,0.0,8.041348863005148,3.5718852575179905,10.13630175606679
4A_DEA,4A,DEA,786.6291358590037,115.63774057265607,634.1126928978287,64,2.436428998221783,0.0,0.0,7.459523951610329,3.0752376472763965,10.077842440014791
4A_DEGE,4A,DEGE,1094.7198736245664,393.8083474283425,662.9928783647206,73,2.3341490611436964,0.0,0.0,15.690533458143136,5.078277762409327,11.602755187110839
4A_DEPA,4A,DEPA,886.3418187242064,197.61043235285146,650.8327476321452,77,2.328101399459439,0.0,0.0,7.693756584822059,4.885352046108027,10.08425923211247
4A_DETA,4A,DETA,834.0612967562994,151.849603418118,638.1831005027835,70,2.5591147321095242,0.0,0.0,4.904818807867051,3.825917774455053,10.203805718304091
4A_DMDP,4A,DMDP,980.381802896861,279.28028069042307,663.132874438806,93,2.3336511473212957,0.0,0.0,10.37924002004163,5.009729147254072,10.117105159250414
4A_DMEDA,4A,DMEDA,804.1320632855769,118.79031880351053,641.7131345017935,70,2.541000669834623,0.0,0.0,4.795669207994953,4.30542728450759,10.243051479103883
4A_EAE,4A,EAE,797.6703672996975,130.01893937261178,629.7228088172394,64,2.4672294296639703,0.0,0.0,8.03824639040511,3.118970698532043,10.15494142379278
