,LASSO,RF,mean_rank
E_pwx(1)_2A,0.007542089137910818,0.0015066522905280131,0.004524370714219416
SUME_pwx_2A,0.0,0.008228328248514221,0.004114164124257111
E_POL_5A,0.0,0.008005320462893739,0.004002660231446869
E_DEF_frag2_TS3A,0.0,0.007521402776518701,0.0037607013882593504
E_CT_TSH2,0.0,0.007106387339543765,0.0035531936697718825
SUMEx_NLMO_2A,0.0,0.0059831637002086685,0.0029915818501043343
E_DEF_frag1_5A,0.0,0.005577362870461148,0.002788681435230574
E_POL_H3,0.0,0.004321294843978564,0.002160647421989282
Ex_NLMO(1)_TS3A,0.0,0.004201140110553299,0.0021005700552766495
E_elec_H3,0.0,0.0037632903194269084,0.0018816451597134542
4A_5A,0.0,0.003693835998677292,0.001846917999338646
E_int_TS5A,0.0,0.003583699596155262,0.001791849798077631
E_elec_3A,0.0,0.003497447333118557,0.0017487236665592785
E_pwx(1)_TS3A,0.0,0.003181432584186046,0.001590716292093023
barrier_inhibitive,0.0,0.0029070883967436453,0.0014535441983718226
E_XC_5A,0.0,0.0027012602784543256,0.0013506301392271628
E_POL_TS5A,0.0,0.002657534685464121,0.0013287673427320604
E_XC_H1,0.0,0.002530704152167923,0.0012653520760839616
WBI_TS3A,0.0,0.00228095255662994,0.00114047627831497
E_int_TSH2,0.0,0.0021611587168868097,0.0010805793584434049
Ex_NLMO(3)_5A,0.0,0.0021066829326400437,0.0010533414663200218
5A,0.0,0.0018564351163356573,0.0009282175581678286
E_XC_TS5A,0.0,0.001714146184620212,0.000857073092310106
E_core_H3,0.0,0.0015905267492354815,0.0007952633746177407
"E_pwx(1,2)_3A",0.0,0.0015478614950039775,0.0007739307475019887
E_ES_5A,0.0,0.001239048348238426,0.000619524174119213
E_POL_TS3A,0.0,0.0012193757630453387,0.0006096878815226693
3A,0.0,0.0011866971470348515,0.0005933485735174258
E_ES_TS5A,0.0,0.0011666422698775939,0.0005833211349387969
E_DEF_frag2_H3,0.0,0.0008537728670912478,0.0004268864335456239
E_core_5A,0.0,0.0008337369249741604,0.0004168684624870802
E_elec_TS5A,0.0,0.0008056119749504416,0.0004028059874752208
E_DEF_frag2_TS5A,0.0,0.0005196292526617022,0.0002598146263308511
E_pwx(1)_3A,0.0,0.0004901188219846687,0.00024505941099233435
"E_pwx(1,2)_TS3A",0.0,0.0002243479175900124,0.0001121739587950062
E_SE_frag1_H1,0.0,0.0001783808997585271,8.919044987926355e-05
E_CT_5A,0.0,0.0001764569463270408,8.82284731635204e-05
